,Sample,agetreatment,age,treatment,replicates,Quantity,Cells,melt.shape
1,A04F50C,A04,4,F50,0C,50372.10434,7196.014905,typical
2,A04TAOR1,A04,4,TAO,R1,1451229.341,207318.4772,typical
3,A04TAOR2,A04,4,TAO,R2,251861.8162,35980.25945,mountain
4,A04TAOR3,A04,4,TAO,R3,268356.1977,38336.59967,typical
5,A04TAOR4,A04,4,TAO,R4,18470.76291,2638.680415,mountain
6,A04TAOR5,A04,4,TAO,R5,269119.3596,38445.6228,typical
7,A04TA1R2,A04,4,TAI,R2,85275.91505,12182.27358,mountain
8,A04TAIR3,A04,4,TAI,R3,835856.6332,119408.0905,rounded
9,A04TAIR4,A04,4,TAI,R4,1065406.655,152200.9508,twopeaks
10,A04TAIR5,A04,4,TAI,R5,267.0402663,38.14860947,mountain
11,A06F50C,A06,6,F50,0C,83624.48526,11946.35504,typical
12,A06TAOR2,A06,6,TAO,R2,38282.57289,5468.938984,twopeaks
13,A06TAOR4,A06,6,TAO,R4,65121.46983,9303.067119,twopeaks
14,A06TAIR1,A06,6,TAI,R1,42050.04944,6007.14992,twopeaks
15,A06TAIR2,A06,6,TAI,R2,101346.912,14478.13029,twopeaks
16,A07F50A,A07,7,F50,0A,6913.987832,987.7125474,lowpeaks
17,A07F50B,A07,7,F50,0B,24884.12567,3554.875096,lowpeaks
18,A07F50C,A07,7,F50,0C,63.30430365,9.043471951,lowpeaks
19,A07R3,A07,7,R3,R3,32766.03468,4680.862097,mountain
20,A07TAOR2,A07,7,TAO,R2,26063.29924,3723.328463,mountain
21,A07TAOR4,A07,7,TAO,R4,3466.700922,495.2429889,mountain
22,A07TAIR1,A07,7,TAI,R1,5321.082325,760.1546178,rounded
23,A07TAIR3,A07,7,TAI,R3,2561.626904,365.9467006,twopeaks
24,A07TAIR4,A07,7,TAI,R4,1553.456085,221.9222978,typical
25,A07TAIR5,A07,7,TAI,R5,334.4972678,47.78532397,rounded
26,A08F50,A08,8,F50,50,3536.598942,505.2284203,twopeaks
27,A08F50C,A08,8,F50,0C,46.59981362,6.657116231,lowpeaks
28,A08TAOR1,A08,8,TAO,R1,24951.04096,3564.434423,typical
29,A08TAOR1*,A08,8,TAO,1*,64262.21681,9180.316687,typical
30,A08TAOR2,A08,8,TAO,R2,24519.79461,3502.827802,typical
31,A08TAOR3,A08,8,TAO,R3,157.3942763,22.48489662,typical
32,A08TAIR1,A08,8,TAI,R1,29193.36954,4170.481362,twopeaks
33,A08TAIR3,A08,8,TAI,R3,1089127.89,155589.6985,twopeaks
34,A08TAIR4,A08,8,TAI,R4,87708.46436,12529.78062,mountain
35,A08TAIR5,A08,8,TAI,R5,80553.99231,11507.71319,rounded